,user_address,ens,time_since_first_tx,total_gas_eth,number_of_txs
188,\x0883588243b048222197f371d2e26ee61ff0de42,,4 days,0.4991,18
189,\x0885f195ef82b5a0bce03eac96fbc94116c2a353,,11 days,10.8057,24
190,\x08987d499be8dde2ca777e8ca3af18f12bf89ca3,,163 days,10.1821,513
191,\x08b5d278a116665aeecf16e60f87891abbbe492a,,380 days,17.987,1479
192,\x08b645e62ee0d3a92629df4329bc32c72d76f020,,1062 days,1.3867,38
193,\x08b6da6b5e57751b44c7415b98b14c0c9f755343,cookiedough,1472 days,0.5069,129
194,\x08ceb8bba685ee708c9c4c65576837cbe19b9dea,daiku,1055 days,21.2615,2214
195,\x08d816526bdc9d077dd685bd9fa49f58a5ab8e48,arbiter1260,1043 days,28.2129,2191
196,\x08d9f82b55e8d6ec48ae98e31ce74d0b02f4e703,,180 days,1.0504,77
197,\x08f33dd442dc03b3e260b843210692aa354ff285,,219 days,2.6374,281
198,\x08f58143ff48701db67138f81d2bdb9fa564747d,,35 days,1.2819,3
199,\x08f8602ed6c9620dace023c16bdf7fd9bc038405,,98 days,0.2244,16
200,\x08f950816358f4306b70fb319e4f35c592d1b8a8,generated,1014 days,4.8847,154
201,\x08fe27a53dd8933410a18c2fb2608d8aeab605ff,,7 days,0.1416,12
202,\x09209a7ba708da2111f971ad6800386f68441754,,16 days,6.0775,150
203,\x09238a2aa20600e9773990677d17fef91e688523,💎🙌🏻💎,459 days,23.0399,3279
204,\x0923c36be571d57225418eb5bf222a3f20519fa4,,204 days,1.447,111
205,\x09580ac5e91038ce0385247c59e58519785a4636,,178 days,4.6568,306
206,\x095a7d9f3c901ce02cde5dbacc0751f7974033e3,themariokarters,146 days,16.6823,1247
207,\x0962e271b60003c8f4ade20d883f2cc49c267375,,1358 days,4.9856,370
208,\x09641015fb8b08388a7367b946e634d37dddffaa,,1529 days,63.9775,3809
209,\x0967114bad0a2e1cf69ddf36e6ff281def964a26,,5 days,2.179,12
210,\x0969a43951cda021a72b1eb8e5db620491c5740c,degenvault,1016 days,2.1289,181
211,\x0974ff7e79d93c462421f23520c0e6ba300dcb97,aianft,178 days,6.5634,554
212,\x09775b865bf47936ddb0a39c4734ea0d46232aa6,,2 days,0.198,5
213,\x09850721bd28237d73373e4b54be4dcd1e07fdd2,,193 days,2.1927,106
214,\x0985224a811e65c235dbf4a2c2117712aabe4e39,golddiggers,1090 days,32.053,3128
215,\x0985fbcb517b2889eb2340a3c2747e133a825cd2,jebthegreat,104 days,36.2297,2241
216,\x0999ec2f80aae3df224809b88a13fe589340a672,,26 days,2.3209,292
217,\x09a4d3be4fb596e26fbcf2e9379460349b111131,kimi,173 days,13.3651,1032
218,\x09ab720be0deda7f664e5dd15c5f33472da0e0fe,,624 days,10.9367,785
219,\x09be68823d2a7a22be569816c9b2c104628545cf,ciperh0x,529 days,29.9306,1874
220,\x09be9ab0eb61327d26904bae69efdc6633d5eec8,☠👽☠,1259 days,45.7278,3203
221,\x09c400217ef6278ca839c49b9e3b9908ff6d1163,,161 days,0.4433,36
222,\x09c4eea8ad5e12e1979a9edda897c4cac13baed9,chuforreal,104 days,2.3591,129
223,\x09c5577fe587a772dcb44a15e3a4ddf43130e15b,,14 days,8.3417,351
224,\x09c624d5271a1f7e6a2588e778a4d48bb90a6952,lucilfer,189 days,13.2945,1248
225,\x09e3b59d1825c1b439a20256711e44df65b52deb,,64 days,24.9877,262
226,\x09f1ca07bfad8ce02578ef4b7e49b5910c7bdcdd,,181 days,1.8499,59
227,\x09feee7b32cdfe2327d272a407611ebffa04f5cc,,101 days,7.263,239
228,\x0a186837cfd87d6e761786e8329ae1db0bddfcc6,,19 days,2.0679,88
229,\x0a2a3d3c6d4f2d57d307da3e3e99ff8122077da5,unicornparadise,270 days,53.5579,1322
230,\x0a64e6e447f7cbd0c467959da1b19103f8628bdc,,118 days,1.4896,16
231,\x0a690b298f84d12414f5c8db7de1ece5a4605877,acebreaks,555 days,79.5463,5217
232,\x0a73235fbf202434a262a90ce73d5387dd4cf1ee,,8 days,0.9368,64
233,\x0a73c8e858e148621573a0da9d8e50da93cdba56,,34 days,19.242,266
234,\x0a74045ce2e07494c569249e2ef51ef2de675ec4,,242 days,12.689,175
235,\x0a8f4e308b17f836eab6493f42e48ac07d30946d,,1273 days,5.8821,452
236,\x0a8fa7821e73e6bac4e22e04575424e8bd931f0f,,159 days,10.5655,126
237,\x0aacf5d8a327dc048055ba928ae79744863fc033,,284 days,1.8885,136
238,\x0abb75f676d0c131c04324dd98150a39213edd41,,70 days,105.3176,1397
239,\x0acd3b41e5b21e8b23b2ed054645316a9b1db287,trashkatz,121 days,18.7521,1030
240,\x0acd598945f951d406451998bd811628ba1ee099,kingtre,115 days,7.5684,446
241,\x0ae3d5949202165584a270cbac7a733b0307a766,,1303 days,6.3421,461
242,\x0ae8544ff02e5464a33dbf23bae0bf11d5a0923a,,71 days,0.4993,36
243,\x0ae8a421e5cf4775310d6339a4be20552bff7080,,325 days,5.8247,398
244,\x0af3c2960a28857a018dd31a273b37a99a65a1c4,,168 days,6.4148,456
245,\x0af7e23ca25865667e51fc2abc406c408344317b,,136 days,10.3879,278
246,\x0b13f13c0e99f24b96a835b787d1347b33d87776,🎰🎰🎰🎰🎰,832 days,102.0195,4942
247,\x0b17ec878be272aa9aa3b357456ce58bdbe71a36,,56 days,1.3689,50
248,\x0b223d80646bdc4c52bd7131b8d4fe0e8e372dd1,akenkarvault,229 days,5.5958,215
249,\x0b2c327046b9f66e11752d1220bed0712b0d0188,,176 days,25.5851,752
250,\x0b3bf97884738f8dac2bf4ce201d7b1ce77553cf,,1 day,0.1649,3
251,\x0b431f91c54c303ae29e4023a70da6cadeb0d387,,452 days,18.614,1152
252,\x0b5a91adc9a867501fd814cea2caba28f9770b63,viwat,1562 days,27.6182,1608
253,\x0b7164d93db6309f99968c12e7e38f70e47089ed,,146 days,0.844,79
254,\x0b7917b62bc98967e06e80efba9abcaccf3d4928,benl,380 days,9.662,598
255,\x0b981d98e857c888e00d2c494d24dc16a12f8f3a,,231 days,1.1846,128
256,\x0ba4be373eb2276084ad7ea214d50f65abcc0fec,alwaysbuy,125 days,1.4483,108
257,\x0bbe8e378891c70a693be79bc91461e621518f32,,23 days,0.4615,36
258,\x0bc6bcdda2356b42ffd79bb9914f3af5d1aad07e,,151 days,5.4138,153
259,\x0bc90e07937fa2a69a8639499a310b3e49365930,,35 days,0.495,30
260,\x0bc95f14395270a3c236ca1e15d77fb77b66c0a1,l1qu1d,1053 days,4.9559,458
261,\x0bd22d333f6cf380ca3dae47dc2bc53fbda789fb,thedayman,142 days,11.8258,530
