user_address,time_since_first_tx,total_gas_eth,number_of_txs
\x7091af2b3ea26cf6ad9a3b1d63796779a73dc181,115 days,0.4245,14
\x709c77018e484ec58fc938d64217fdf2a9ec67cc,75 days,1.4135,59
\x70d00fc2a472ea9149952186dc264dfef421b37f,144 days,0.7188,82
\x71e7b94490837ccaf45f9f6c7c20a3e17bbeb7d3,104 days,3.6337,288
\x720d330816afd75a72e012f8d669a19918483375,1075 days,12.3358,6524
\x723fc01a02574075d458de9502a3fb78383f31ac,207 days,0.3851,30
\x7246a274656e797fab4b02eb1e0581d46f0358e2,108 days,0.6695,226
\x729dcbdfebcc0741b845256e764ece7f4db55ccc,100 days,25.2374,1051
\x73579a6506c4617814c71e7ce70c149fff3c8e84,35 days,1.0199,148
\x738c581921325e19fd701c983231a4c31c0a90a0,201 days,21.5521,426
\x73a6dbec6777f75d36bd44c79dc13e62c1570b5b,00:00:00,0.1008,7
\x740b3d3a5ce317ece939f23355d434caa07bb8b5,12 days,0.6533,26
\x741db40192c46ec9679b7405621a8ff53b2d4717,196 days,0.0529,4
